 Iamps, B0, c0i, c1i, c2i, c3i, c4i, c5i, c0e, c1e, c2e, c3e, c4e, c5e
 18, 0.255958, 0.455088, 4.00283, -1.17423, 0.466125, 0, 0, 0.455088, 4.00283, -1.17423, 0.466125, 0, 0 
 36, 0.59183, 0.50539, 3.99626, -1.01928, 0.403859, 0, 0, 0.50539, 3.99626, -1.01928, 0.403859, 0, 0 
 54, 0.893618, 0.545908, 3.98029, -0.875157, 0.348203, 0, 0, 0.545908, 3.98029, -0.875157, 0.348203, 0, 0 
 72, 1.16132, 0.576642, 3.95493, -0.741853, 0.299157, 0, 0, 0.576642, 3.95493, -0.741853, 0.299157, 0, 0 
 90, 1.39494, 0.59759, 3.92017, -0.61937, 0.25672, 0, 0, 0.59759, 3.92017, -0.61937, 0.25672, 0, 0 
 108, 1.59447, 0.608754, 3.87602, -0.507709, 0.220893, 0, 0, 0.608754, 3.87602, -0.507709, 0.220893, 0, 0 
 126, 1.75992, 0.610132, 3.82247, -0.406869, 0.191675, 0, 0, 0.610132, 3.82247, -0.406869, 0.191675, 0, 0 
 144, 1.89129, 0.601726, 3.75952, -0.316851, 0.169067, 0, 0, 0.601726, 3.75952, -0.316851, 0.169067, 0, 0 
 162, 1.98857, 0.583536, 3.68718, -0.237655, 0.153069, 0, 0, 0.583536, 3.68718, -0.237655, 0.153069, 0, 0 
 180, 2.05176, 0.55556, 3.60544, -0.16928, 0.14368, 0, 0, 0.55556, 3.60544, -0.16928, 0.14368, 0, 0 
